Search for,Entry,Information,31/07/2025
Agbank,Agricultural Bank of China,"Use ABC as the short form for this institution on second reference, not AgBank",
Ahmadabad,Ahmedabad,"For the name of the India city, use Ahmedabad, with an e. Use Ahmadabad with an a for towns and villages in Iran, Afghanistan and Pakistan",
AIDS,Aids,"Acquired immune deficiency syndrome, but no need to be written out in full. Lower case but cap A

Someone who has contracted HIV may develop Aids. They either have it or they do not. There is no such condition as full-blown Aids.",
airbridge,air bridge,"Two words, not one.",
airbridges,air bridges,"Two words, not one.",
aircon,air con,"Two words, not one.",
air-conditioners,air conditioners,"Two words, not one.",
aircons,air cons,"Two words, not one.",
air-mass,air mass,No hyphen,
air-raids,air raids,"Two words for noun. < air raid / air raids >  

hyphen for adjective - < air-raid shelter/warning >",
air-rifles,air rifles,Two words not one.,
airshow,air show,"Two words as a noun 

not airshow

not air-show",
air-show,air show,"Two words as a noun 

not airshow

not air-show",
air-shows,air shows,"Two words as a noun. 

not airshows 

not air-shows",
airshows,air shows,"Two words as a noun. 

not airshows 

not air-shows",
airstrike,air strike,Two words as a noun.,
airstrikes,air strikes,Two words as a noun.,
air freshener,air-freshener,Use hyphen,
air fresheners,air-fresheners,Use hyphen.,
air bag,airbag,One word,
air bags,airbags,One word.,
air-base,airbase,One word.,
air base,airbase,One word.,
air-bases,airbases,One word.,
air-bed,airbed,One word.,
air-beds,airbeds,One word.,
aircrafts,aircraft,Aircraft is both singular and plural. Do not write aircrafts,
air-crew,aircrew,"One word, plural verb: The aircrew were congratulated on their performance",
air crew,aircrew,"One word, plural verb: The aircrew were congratulated on their performance",
air-drop,airdrop,One word.,
air-drops,airdrops,One word.,
air-fare,airfare,One word.,
air-fares,airfares,One word.,
air-freight,airfreight,One word.,
air-gun,airgun,One word.,
air-guns,airguns,One word.,
air-lift,airlift,One word.,
air-lifts,airlifts,One word.,
air-mail,airmail,One word.,
air-space,airspace,"One word.

not: air space or air-space",
air time,airtime,One word.,
air-waves,airwaves,One word.,
aiya,aiyah,use the final h for the romanisation of this popular Cantonese expression. No need for italics,
Akshata Murthy,Akshata Murty,"Akshata Murty (not Akshata Murthy) for the spelling of the name of the wife of Rishi Sunak, who became UK prime minister in October 2022

While some agencies and media outlets spell it “Murthy”, we will follow more common international usage (and what Murty uses on her own social media and official online accounts).

Note Murty's father spells his name as N.R. Narayana Murthy – we will follow that spelling style for his name in print.",
Acubra,Akubra,Australian bush hat brand name. Cap the A,
aldente,al dente,"al dente is two words

But: alfresco is one word (not al fresco)",
al-Qaida,al-Qaeda,"The late Osama bin Laden's group is al-Qaeda. It means ""the base"" Its deputy leader: Ayman al-Zawahiri (NOT al-Zawahri) (ie. name is with two i's) its alleged mastermind of the 9/11 attacks: Khalid Sheikh Mohammed (NOT Khalid Shaikh Mohammed) Another top lieutenant: Ramzi bin al-Shaibah (not Binalshibh as American wire reports call him) It is al-Qaeda on first and subsequent mentions NOT al-Qaida NOT al-Qa'ida NOT al Qaida NOT al Qa'ida NOT Al-Qaeda NOT Al-Qaida NOT Al-Qa'ida",
al-Qa'ida,al-Qaeda,"The late Osama bin Laden's group is al-Qaeda. It means ""the base"" Its deputy leader: Ayman al-Zawahiri (NOT al-Zawahri) (ie. name is with two i's) its alleged mastermind of the 9/11 attacks: Khalid Sheikh Mohammed (NOT Khalid Shaikh Mohammed) Another top lieutenant: Ramzi bin al-Shaibah (not Binalshibh as American wire reports call him) It is al-Qaeda on first and subsequent mentions NOT al-Qaida NOT al-Qa'ida NOT al Qaida NOT al Qa'ida NOT Al-Qaeda NOT Al-Qaida NOT Al-Qa'ida",
al Qaida,al-Qaeda,"The late Osama bin Laden's group is al-Qaeda. It means ""the base"" Its deputy leader: Ayman al-Zawahiri (NOT al-Zawahri) (ie. name is with two i's) its alleged mastermind of the 9/11 attacks: Khalid Sheikh Mohammed (NOT Khalid Shaikh Mohammed) Another top lieutenant: Ramzi bin al-Shaibah (not Binalshibh as American wire reports call him) It is al-Qaeda on first and subsequent mentions NOT al-Qaida NOT al-Qa'ida NOT al Qaida NOT al Qa'ida NOT Al-Qaeda NOT Al-Qaida NOT Al-Qa'ida",
al Qa'ida,al-Qaeda,"The late Osama bin Laden's group is al-Qaeda. It means ""the base"" Its deputy leader: Ayman al-Zawahiri (NOT al-Zawahri) (ie. name is with two i's) its alleged mastermind of the 9/11 attacks: Khalid Sheikh Mohammed (NOT Khalid Shaikh Mohammed) Another top lieutenant: Ramzi bin al-Shaibah (not Binalshibh as American wire reports call him) It is al-Qaeda on first and subsequent mentions NOT al-Qaida NOT al-Qa'ida NOT al Qaida NOT al Qa'ida NOT Al-Qaeda NOT Al-Qaida NOT Al-Qa'ida",
Al-Qaeda,al-Qaeda,"The late Osama bin Laden's group is al-Qaeda. It means ""the base"" Its deputy leader: Ayman al-Zawahiri (NOT al-Zawahri) (ie. name is with two i's) its alleged mastermind of the 9/11 attacks: Khalid Sheikh Mohammed (NOT Khalid Shaikh Mohammed) Another top lieutenant: Ramzi bin al-Shaibah (not Binalshibh as American wire reports call him) It is al-Qaeda on first and subsequent mentions NOT al-Qaida NOT al-Qa'ida NOT al Qaida NOT al Qa'ida NOT Al-Qaeda NOT Al-Qaida NOT Al-Qa'ida",
Al-Qaida,al-Qaeda,"The late Osama bin Laden's group is al-Qaeda. It means ""the base"" Its deputy leader: Ayman al-Zawahiri (NOT al-Zawahri) (ie. name is with two i's) its alleged mastermind of the 9/11 attacks: Khalid Sheikh Mohammed (NOT Khalid Shaikh Mohammed) Another top lieutenant: Ramzi bin al-Shaibah (not Binalshibh as American wire reports call him) It is al-Qaeda on first and subsequent mentions NOT al-Qaida NOT al-Qa'ida NOT al Qaida NOT al Qa'ida NOT Al-Qaeda NOT Al-Qaida NOT Al-Qa'ida",
Al-Qa'ida,al-Qaeda,"The late Osama bin Laden's group is al-Qaeda. It means ""the base"" Its deputy leader: Ayman al-Zawahiri (NOT al-Zawahri) (ie. name is with two i's) its alleged mastermind of the 9/11 attacks: Khalid Sheikh Mohammed (NOT Khalid Shaikh Mohammed) Another top lieutenant: Ramzi bin al-Shaibah (not Binalshibh as American wire reports call him) It is al-Qaeda on first and subsequent mentions NOT al-Qaida NOT al-Qa'ida NOT al Qaida NOT al Qa'ida NOT Al-Qaeda NOT Al-Qaida NOT Al-Qa'ida",
al Qaeda,al-Qaeda,"The late Osama bin Laden's group is al-Qaeda. It means ""the base"" Its deputy leader: Ayman al-Zawahiri (NOT al-Zawahri) (ie. name is with two i's) its alleged mastermind of the 9/11 attacks: Khalid Sheikh Mohammed (NOT Khalid Shaikh Mohammed) Another top lieutenant: Ramzi bin al-Shaibah (not Binalshibh as American wire reports call him) It is al-Qaeda on first and subsequent mentions NOT al-Qaida NOT al-Qa'ida NOT al Qaida NOT al Qa'ida NOT Al-Qaeda NOT Al-Qaida NOT Al-Qa'ida",
al-Qaida-linked,al-Qaeda-linked,,
al-Shabaab,al-Shabab,An Islamist militant group battling a UN-backed government in Somalia. It has also carried out attacks in Kenya.,
al Shabaab,al-Shabab,Militant group active in Somalia and neighbouring countries. Note spelling,
Al-Shifa,al-Shifa,"al-Shifa / capitalise ""Al-Shifa"" when used to  start a sentence/headline - then lower-case al-Shifa within sentences. 

Also known as al-Shifa Hospital or Dar al-Shifa Hospital, al-Shifa is the largest medical complex and central hospital in the Gaza Strip. 

The facility is located in the neighbourhood of northern Rimal in Gaza City.",
Alan Hoo Hong-ching,Alan Hoo,"Barrister Alan Hoo does not want his Chinese name used, so do not refer to him as Alan Hoo Hong-ching. He is chairman of think tank the Basic Law Institute. He is not chairman of the Basic Law Committee.",
Alan Siu Yu Bun,Alan Siu Yu-bun,"Director of the Administration and Development Division of Hong Kong's Department of Justice

 Department of Justice official website",
Alan Wong Chi Kong,Alan Wong Chi-kong,"Retired as director of the Agriculture, Fisheries and Conservation Department in 2015. Succeeded by Leung Siu-fai

 AFCD website",
Malamute,Alaskan malamute,Alaskan malamute. Do not cap the M for this breed of dog,
Albert Yeung Sau-sing,Albert Yeung Sau-shing,"Chairman of the Emperor Group, and of Emperor Entertainment Group, which manages many of Hong Kong's leading singers and is a major music distributor and concert organiser",
Alexa Lam-cheung,Alexa Lam Cheung,"Former deputy chief executive of Hong Kong's Securities and Futures Commission (SFC)

Now law professor at HKU",
al fresco,alfresco,"alfresco is one word

al dente however is two words",
Alibaba Group Holdings,Alibaba Group Holding,"The Chinese e-commerce company that owns the South China Morning Post. Founded by Jack Ma, who owns 7.8 per cent of the company. No s on Holding. Note that Jack Ma does not use his Chinese name Ma Yun

Joe Tsai is chairman of Alibaba Group (from September 2023) and one of the company's co-founders (Not Joseph Tsai / not Joseph C. Tsai )

 Alibaba official website 

Any reference to Alibaba in news stories, and any stories about Alibaba, must contain a line saying Alibaba is the owner of the South China Morning Post. This can either be woven into the text at a suitable place or if the mention of Alibaba is in passing and not material to the story, then it can be a separate line at the end 

The Post's sale to Alibaba was announced in December 2015 and completed in April 2016. The paper was previously owned by Malaysian-Chinese tycoon Robert Kuok ( not Robert Kwok ) through his Kerry Group company",
Aliexpress,AliExpress,Cap E in name of Alibaba's online retail service for international buyers,
all clear,all-clear,"Patients can be given the all-clear.

Not the all clear.",
Allahu Akbar,Allahu akbar,"The Muslim greeting means ""God is great"". ""Allahu"" is correct. It should not be written ""Allah akbar"" Note: the first A is capped, the second is lower case, no italics.  

The first time it appears in a story it should appear thus: ""Allahu akbar [God is great]"", with the translation in square brackets",
Alan Zeman,Allan Zeman,"Allan (with two ls) Zeman is a former chairman of Ocean Park, a Hong Kong government-owned theme park. He is best known as chairman of Lan Kwai Fong Holdings, the company which owns large parts of the entertainment district centred on Lan Kwai Fong in Central. He opened the California Restaurant in Lan Kwai Fong in 1983. While he was not the first person to open a bar or restaurant in the area, he is known as ""the father of Lan Kwai Fong"". Born in Canada, he came to Hong Kong aged 20 and founded a fashion import business, Colby, which he sold to Li & Fung in 2000. His company is now opening Lan Kwai Fong themed attractions in mainland cities including Chengdu.",
Allen wrench,Allen key,Use British English terms instead of American English. Note cap A because Allen is the name of the inventor,
Allen wrenches,Allen keys,Use British English terms instead of American English. Note cap A because Allen is the name of the inventor,
Allen Lee Pang-fei,Allen Lee Peng-fei,former National People's Congress delegate and former legislative councillor (NOT Allen Lee Pang-fei),
Allen Shi Lop Tak,Allen Shi Lop-tak,"President and founder of printing and packaging firm Brilliant International Group and a vice-president of the Chinese Manufacturers' Association of Hong Kong



 CMA official website",
Alpine skiing,alpine skiing,"No cap A, but cap N is Nordic skiing",
alt right,alt-right,"use a hyphen (alt-right not alt right ) for the term used mostly in the US for the right-wing ideological movement characterised by a rejection of mainstream politics and by the use of online media to disseminate provocative content, often expressing opposition to racial, religious, or gender equality. 

(does NOT require quotation marks, no caps )

Also: < far-right > (not far right ) to refer to the extreme right wing of a political party or group",
aluminum,aluminium,Use British English terms instead of American English.,
Alzheimers disease,Alzheimer's disease,This needs an apostrophe.,
Amal Fathi,Amal Fathy,A female Egyptian activist.,
ambiance,ambience,"ambience, not ambiance - but preferably use mood or atmosphere",
Ambrose Ho Pui Him,Ambrose Ho Pui-him,"Former head of Hong Kong's Communications Authority, the broadcasting regulator",
amidst,amid,not amidst,
amuck,amok,not amuck,
amongst,among,not amongst,
Ana R,Ana Rivera,"Eurasian model. She sometimes calls herself Ana R, but use the full name",
anemia,anaemia,"anaemia, anaemic and all similar words 'ae-, -oe-, not anemia, anemic etc. (fetus is an exception)",
anemic,anaemic,"anaemia, anaemic and all similar words 'ae-, -oe-, not anemia, anemic etc. (fetus is an exception)",
Andrew Chan Au Ming,Andrew Chan Au-ming,"Anglican Church in Hong Kong and Macau

The church is known in Hong Kong as the Sheng Kung Hui.  Archbishop of Hong Kong and Macau the Most Reverend Paul Kwong (also bishop of Hong Kong Island) Right Reverand Andrew Chan Au-ming is Bishop of the diocese of Western Kowloon Right Reverend Louis Tsui Tsan-sang is Bishop of the diocese of Eastern Kowloon  Dean of St John's Cathedral: the Very Reverend Matthias Der (NOT the Reverend Canon Matthias Der and NOT the Very Reverend Canon Matthias Der BOTH ARE WRONG)   Bishop emeritus and former archbishop: Dr Peter Kwong Kong-kit",
Andy Lau Tak-Wah,Andy Lau Tak-wah,"Hong Kong singer, actor and film producer. One of the ""four heavenly kings of Cantopop"" along with Jacky Cheung Hok-yau, Aaron Kwok Fu-shing and Leon Lai Ming",
Andy On Chi Kit,Andy On Chi-kit,Hong Kong actor,
animal lover,animal-lover,"Most NOUN + NOUN formations like this do not require a hyphen, unless it is to make clear what meaning is intended. So: cat lover, dog lover, etc. But pet-lover and animal-lover need a hyphen. Also pet-loving, peace-loving, etc when applied to describe a person.",
animal lovers,animal-lover,"Most NOUN + NOUN formations like this do not require a hyphen, unless it is to make clear what meaning is intended. So: cat lover, dog lover, etc. But pet-lover and animal-lover need a hyphen. Also pet-loving, peace-loving, etc when applied to describe a person.",
Ankie Belkie,Ankie Beilke,Note the spelling of this Hong Kong model's name. She is NOT Ankie Belkie.,
Ann Hui On-Wah,Ann Hui On-wah,A Hong Kong film director and actor.  A brief biography here,
Anna Wu Hung-Yuk,Anna Wu Hung-yuk,"Formerly chairwoman of Hong Kong's Mandatory Provident Fund Schemes Authority, formerly head of the Equal Opportunities Commission",
Annette Lu Hsiu-Lien,Annette Lu Hsiu-lien,"Former vice-president of Taiwan, in office May 2000 to May 2008",
Anson Chan Fang On Sang,Anson Chan Fang On-sang,"Chief secretary of Hong Kong from 1993 to 2001 and a member of the Legislative Council from December 2007 to September 2008. 

She now leads Hong Kong 2020, a group formed in 2013 to facilitate public discussion on electoral reform in the city",
Anthony Cheung Bing Leung,Anthony Cheung Bing-leung,"Former secretary of Hong Kong's Transport and Housing Bureau

 List of Hong Kong's principal government officials",
antiaircraft,anti-aircraft,,
anti Catholic,anti-Catholic,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
